timestamp_utc,input_text,predicted_label,confidence,route_system,needs_llm_reconfirm,latency_s,model
2026-05-14T07:42:08Z,good morning can you explain the meaning of life,chat,0.999515,False,False,54.6506,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T07:43:43Z,good afternoon what is 2 * 2,chat,0.998562,False,False,52.0026,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T07:45:36Z,what is computer science,system,0.947284,True,False,50.4883,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T07:49:19Z,"Hello, can you tell me what the computer field is?",chat,0.999007,False,False,55.7659,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T07:53:59Z,hi could you tell me what is the difference between computer science and data science,chat,0.998770,False,False,58.7834,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T07:59:26Z,hi May I know what is the meaning of text,chat,0.989182,False,False,54.5272,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:08:44Z,can you tell me who is Stephen Curry,chat,0.998496,False,False,52.3202,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:10:28Z,can you tell me what is LeBron James famous for,chat,0.999112,False,False,53.7836,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:16:01Z,can you tell me what is the meaning of data scientist,chat,0.994677,False,False,55.7024,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:20:29Z,open YouTube,system,1.000000,True,False,0.0000,keyword_open_site
2026-05-14T08:22:15Z,can you explain to me what is the result of 2 + 2,chat,0.997893,False,False,56.1404,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:53:24Z,good morning what is 2 * 2 = 2,chat,0.999112,False,False,3.7884,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:54:05Z,good morning what is the meaning of life,chat,0.999767,False,False,2.5219,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:54:51Z,hi there could you help me to take a screenshot,chat,0.997937,False,False,2.4129,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:55:23Z,take screenshot,system,0.952264,True,False,2.3387,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:56:42Z,"Hello, can you tell me what is the Internet?",chat,0.999197,False,False,2.3960,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T08:59:09Z,hi there please open WhatsApp,system,1.000000,True,False,0.0000,keyword_open_site
2026-05-14T09:01:14Z,I am very sad could you cheer me up,chat,0.999413,False,False,2.7355,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T13:19:30Z,Can you tell me what computer technology is?,chat,0.510741,False,False,5.4962,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T13:20:10Z,good evening what is the meaning of data science between computer science difference,chat,0.998805,False,False,2.7976,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T13:21:44Z,Can you please tell me whether data science or computer comparative thinking in this modern society?,chat,0.667473,False,False,2.4471,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T13:22:42Z,Can you tell me whether data science or computing will be more popular in the next 10 years?,system,0.552540,False,True,2.3520,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
2026-05-14T13:26:15Z,I want to know whether the computer science department will still be popular in the next 20 years,system,0.827550,True,False,2.7939,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33
